CALL_OI_Lots,CALL_Chng_in_OI,CALL_Volume,CALL_Abs_Chng,CALL_Bid_Qty,CALL_Bid_Price,CALL_Ask_Price,CALL_Ask_Qty,CALL_LTP,Strike_Price,PUT_LTP,PUT_Bid_Qty,PUT_Bid_Price,PUT_Ask_Price,PUT_Ask_Qty,PUT_Abs_Chng,PUT_Volume,PUT_Chng_in_OI,PUT_OI_Lots
24,16,232,-813.0,0,0,0,0,11672.0,395000.0,78763.0,0,0,0,0,17039.0,190,37,59
2402,1224,15985,-1200.5,0,0,0,0,8800.0,400000.0,93319.0,0,0,0,0,8227.5,3138,-38,780
32,20,225,-18.5,0,0,0,0,11680.5,405000.0,0,0,0,0,0,-22803.5,0,0,0
687,175,4650,-1088.0,0,0,0,0,7800.0,410000.0,96140.0,0,0,0,0,1371.0,550,-69,250
209,36,978,-368.5,0,0,0,0,8327.5,415000.0,63719.5,0,0,0,0,4553.0,14,2,28
1513,500,8518,-580.5,0,0,0,0,7200.0,420000.0,101650.5,0,0,0,0,5335.0,202,-28,224
320,166,2150,-867.0,0,0,0,0,6300.0,425000.0,0,0,0,0,0,-33909.5,0,0,0
1972,733,12140,-801.5,0,0,0,0,5800.0,430000.0,112831.5,0,0,0,0,1348.0,238,-8,185
0,0,0,-16806.0,0,0,0,0,0,435000.0,0,0,0,0,0,-41022.5,0,0,0
906,906,3044,-1076.0,0,0,0,0,4501.0,440000.0,0,0,0,0,0,0,0,0,0
0,0,0,-13750.0,0,0,0,0,0,445000.0,0,0,0,0,0,0,0,0,0
1682,1682,9875,-625.0,0,0,0,0,4700.0,450000.0,0,0,0,0,0,-51568.0,0,0,0
